datetime,count,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,day
2020-01-25,17734,1579928400,10.4,3.4,6.1,10.4,-1.5,2.6,4.2,87.8,22.11,,29.17,,0.0,0.0,61.2,35.6,106.8,1014.3,89.5,11.3,26.5,1.0,1.0,07:12:31,1579954351,17:04:23,1579989863,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,25
2020-01-26,36121,1580014800,7.8,3.7,5.4,4.9,-0.3,2.0,-0.8,65.57,0.0,,0.0,,0.0,0.0,38.9,24.2,264.5,1008.6,44.3,16.0,215.4,8.5,5.0,07:11:45,1580040705,17:05:37,1580076337,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,26
2020-01-27,46534,1580101200,7.2,2.9,4.8,4.6,-1.6,1.2,-2.4,60.08,0.0,,0.0,,0.0,0.0,38.4,26.4,272.5,1005.9,77.0,16.0,102.1,4.0,2.0,07:10:57,1580127057,17:06:50,1580162810,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,27
2020-01-28,48816,1580187600,5.6,3.1,4.0,2.7,-0.8,0.5,-4.1,55.56,0.0,,0.0,,0.0,0.0,39.0,23.5,305.0,1009.6,91.0,16.0,165.2,5.9,3.0,07:10:08,1580213408,17:08:04,1580249284,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,28
2020-01-29,47386,1580274000,4.4,-0.1,2.0,2.5,-5.1,-1.3,-8.9,44.77,0.0,,0.0,,0.0,0.0,37.1,20.2,258.7,1017.7,45.6,16.0,322.5,11.6,6.0,07:09:17,1580299757,17:09:18,1580335758,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,29
2020-01-30,45603,1580360400,2.7,-3.9,-0.4,2.7,-8.2,-2.9,-9.0,53.19,0.0,,0.0,,0.0,0.0,31.7,14.7,56.5,1025.7,13.7,16.0,261.3,10.3,5.0,07:08:24,1580386104,17:10:32,1580422232,0.13,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', 'KTEB', '72505394728', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,30
2020-01-31,47284,1580446800,6.0,1.0,3.6,5.5,-1.5,2.2,-1.3,70.14,0.17,,4.17,,0.0,0.0,,9.5,52.7,1025.5,92.0,15.8,92.5,3.7,2.0,07:07:29,1580472449,17:11:46,1580508706,0.18,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,31
2020-02-01,35542,1580533200,6.0,2.8,4.7,6.0,1.3,3.9,1.6,80.42,0.03,,4.17,,0.0,0.0,,9.2,101.4,1012.7,89.1,10.8,66.8,2.4,1.0,07:06:32,1580558792,17:13:01,1580595181,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,1
2020-02-02,28593,1580619600,6.6,1.7,3.7,6.1,-0.9,1.7,-0.6,74.76,1.62,,29.17,,0.0,0.0,42.5,20.8,283.6,1001.5,74.1,13.1,151.2,6.0,4.0,07:05:34,1580645134,17:14:15,1580681655,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,2
2020-02-03,53522,1580706000,13.4,2.8,8.6,13.4,-0.4,7.3,0.8,60.28,0.27,,4.17,,0.0,0.0,31.7,17.2,229.0,1008.3,44.3,15.4,288.4,10.4,5.0,07:04:34,1580731474,17:15:29,1580768129,0.32,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,3
2020-02-04,52478,1580792400,15.4,6.0,10.3,15.4,4.0,9.9,5.1,70.85,0.03,,4.17,,0.0,0.0,,12.8,149.8,1008.9,53.4,15.7,103.8,3.7,2.0,07:03:32,1580817812,17:16:44,1580854604,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,4
2020-02-05,50544,1580878800,12.9,4.3,5.6,12.9,0.8,3.4,-2.2,59.2,0.0,,0.0,,0.0,0.0,35.3,17.5,101.2,1015.1,94.1,15.7,81.0,2.9,1.0,07:02:29,1580904149,17:17:58,1580941078,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,5
2020-02-06,32156,1580965200,4.9,1.7,3.7,2.8,-1.2,0.9,2.3,90.99,11.9,,58.33,,0.0,0.0,38.9,20.7,61.3,1003.4,98.9,6.4,35.6,1.3,1.0,07:01:24,1580990484,17:19:13,1581027553,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,6
